Id,Name,FIGI,Ticker
210,1Life Healthcare,BBG0026ZDDQ0,ONEM
211,Red Rock Resorts,BBG00B6G8077,RRR
212,Vista Outdoor,BBG006F8QZK4,VSTO
213,Medical Properties REIT,BBG000BGRB25,MPW
214,Aurinia Pharmaceuticals,BBG000BCRJM5,AUPH
215,Kratos Defense & Security Solutions,BBG000C1HQ43,KTOS
216,XPEL,BBG000R5XCX9,XPEL
217,Stem,BBG00XP8NQN4,STEM
218,First Industrial REIT,BBG000CKGDS5,FR
219,Fisker,BBG00LPWLFD4,FSR
220,C3.ai, Inc,BBG00Y6G6X31,AI
221,Novavax,BBG000NVSBL7,NVAX
222,Affirm Holdings,BBG00Y7BP8Y1,AFRM
223,Kilroy Realty Corp REIT,BBG000BLMXN8,KRC
224,Vertiv Holdings Co,BBG00L2B8KW8,VRT
225,Amcor,BBG00LNJRQ09,AMCR
226,КуйбышевАзот - Акции привилегированные,BBG002B9T6Y1,KAZTP
227,Lightspeed Commerce,BBG00PZ78ZM0,LSPD
228,VEON,BBG00R4Z2NT4,VEON-RX
229,Fiverr International,BBG002YSC5M7,FVRR
230,FirstCash,BBG0145KL747,FCFS
231,CubeSmart REIT,BBG000HF28Q9,CUBE
232,PubMatic,BBG001PKMK06,PUBM
233,SoFi Technologies,BBG00YB1ZD58,SOFI
234,Open Lending Corp,BBG00VDHLSQ6,LPRO
235,Fulgent Genetics,BBG00DR7LTG2,FLGT
236,UBS Group,BBG007DJM539,UBS
237,Monday.Com,BBG00GF8K4W4,MNDY
238,Matterport,BBG00XS0FV56,MTTR
239,Desktop Metal,BBG00P17H053,DM
240,Loyalty Ventures,BBG012QVD574,LYLT
241,DigitalOcean Holdings,BBG00ZGF6SS3,DOCN
242,Pembina Pipeline Corporation,BBG001732GF9,PBA
243,Inovio Pharmaceuticals,BBG000BK6YX5,INO
244,BigCommerce Holdings,BBG00W1PSSJ0,BIGC
245,Nubank,BBG0136WM1M4,NU
246,Duolingo,BBG003D4V951,DUOL
247,Danimer Scientific,BBG00S4VMQT2,DNMR
248,Astra Space,BBG00W7FG4V8,ASTR
249,3D Systems Corp,BBG000D42FJ0,DDD
250,Twist Bioscience,BBG006KDCHJ4,TWST
251,Canadian National Railway Co,BBG000HS74G6,CNI
252,Lordstown Motors Corp,BBG00N6NL712,RIDE
253,Washington Federal, Inc.,BBG000BWQTD0,WAFD
254,Hyliion Holdings Corp.,BBG00N9MJTZ9,HYLN
255,Forward Air Corporation,BBG000BRCHB4,FWRD
256,Nurix Therapeutics Inc,BBG00SDJ8M78,NRIX
257,Shopify Inc,BBG008HBD923,SHOP
258,MicroVision,BBG000BVKXQ5,MVIS
259,Procore Technologies,BBG0026ZJ304,PCOR
260,Sunrun Inc,BBG0025XVR85,RUN
261,CEL SCI Corporation,BBG000H5G6L5,CVM
262,AMERISAFE, Inc.,BBG000Q0JJQ0,AMSF
263,United medical group,BBG011MCM288,GEMC
264,CNX Resources Corporation,BBG000CKVSG8,CNX
265,Jabil Inc.,BBG000BJNGN9,JBL
266,Exponent, Inc.,BBG000F31Z34,EXPO
267,MDU Resources Group, Inc.,BBG000BNX3R4,MDU
268,Logitech International SA,BBG000BQNNP6,LOGI
269,DoubleVerify Holdings, Inc.,BBG00ZNRRJM2,DV
270,Triterras,BBG00Y4RPMM1,TRIT
271,Marqeta, Inc.,BBG0112Z87D8,MQ
272,New Fortress Energy,BBG00MJH9LC4,NFE
273,Paymentus Holdings,BBG010MW0N84,PAY
274,ZipRecruiter Inc,BBG010JBYV98,ZIP
275,National Fuel Gas Company,BBG000BPYD87,NFG
276,CRISPR Therapeutics AG,BBG00DBBGRX1,CRSP
277,UiPath, Inc.,BBG00GKS1G03,PATH
278,Eargo,BBG009HSTZ10,EAR
279,ChoiceOne Financial Services, Inc.,BBG000LLRNX3,COFS
280,Middlesex Water Company,BBG000BPGQ60,MSEX
281,Prothena Corporation,BBG003PDKJF7,PRTA
282,Flowers Foods, Inc.,BBG000BB4D72,FLO
283,Vaxart Inc,BBG000DR0RZ7,VXRT
